term,coef,se,ci_low,ci_high,percent_diff,percent_low,percent_high
Intercept,10.773198296391982,0.41529114432456304,9.959227653515839,11.587168939268125,4772341.049480201,2114545.701701388,10770590.121961588
remote_category_Hybrid,-0.12793442769935992,0.025318500434287437,-0.17755868855056328,-0.07831016684815655,-12.00889249534539,-16.26881427255431,-7.5322422269502916
remote_category_Remote,-0.06056414898501822,0.002646321017480739,-0.06575093817928046,-0.05537735979075597,-5.876661208476697,-6.363595221354146,-5.387195010244006
experience_level_EX,0.6878420881402494,0.007304696746243208,0.6735248825176127,0.7021592937628861,98.94179094632764,96.11379323806753,101.81056891234465
experience_level_MI,0.3292921369483288,0.0040561396225051154,0.32134210328821877,0.33724217060843886,38.99838619236458,37.8977252861471,40.1078322647475
experience_level_SE,0.5404248318092871,0.003857389719888436,0.5328643479583058,0.5479853156602684,71.6736031361033,70.38056180030175,72.97645753906711
company_size_M,-0.0646000466208604,0.006846969080892827,-0.07802010601941034,-0.05117998722231046,-6.255767836622073,-7.505417062221653,-4.9892352094497605
company_size_S,-0.15655812996847462,0.0324395520225864,-0.22013965193274398,-0.09297660800420528,-14.49181896204993,-19.759326751345807,-8.87851848200345
work_year_2021,-0.060647810017701975,0.057824210009657734,-0.17398326163663114,0.052687641601227186,-5.884535334816265,-15.968903702904303,5.410033659760671
work_year_2022,-0.04507460198291591,0.052053416378460324,-0.14709929808469813,0.056950094118866326,-4.407383481449267,-13.679174176622366,5.860297856278551
work_year_2023,0.016570494251949952,0.0514840713859271,-0.08433828566446716,0.11747927416836706,1.670854636830632,-8.087972171564207,12.465832022318747
work_year_2024,0.0690690286006014,0.0513830998235372,-0.0316418470535315,0.16977990425473433,7.151017144322491,-3.114648231045958,18.50439994729911
work_year_2025,0.04807980907801679,0.05137959375294168,-0.05262419467774891,0.1487838128337825,4.92543920085835,-5.126351428342046,16.04220937258123
company_location_AE,0.30575275960413983,0.4492890187044911,-0.5748537170566628,1.1863592362649424,35.76465999666747,-43.721281104773524,227.51354803092562
company_location_AM,-0.39578988524875475,0.4328302450488334,-1.2441371655444682,0.45255739504695863,-32.68518805710497,-71.18105393181051,57.232811227228694
company_location_AR,0.12490339109786495,0.4136065830441535,-0.6857655116686758,0.9355722938644058,13.3038986126645,-49.62955097151786,154.86716295838053
company_location_AS,-0.2992344468262893,0.4589700143070849,-1.1988156748681758,0.600346781215597,-25.861442643660602,-69.84488648982376,82.27507865371993
company_location_AT,-0.21703223989393877,0.411601931919142,-1.023772026455457,0.5897075466675796,-19.50959811335151,-64.07626713978824,80.3460910113225
company_location_AU,0.6042810709906716,0.4113487042682987,-0.20196238937519384,1.410524531356537,82.99361416855379,-18.287434002907577,309.8104424680665
company_location_BA,0.24196105872955506,0.5011967492904003,-0.7403845698796294,1.2243066873387396,27.374459061783373,-52.30695328434085,240.18067493169792
company_location_BE,0.34534367596358284,0.4164791153417073,-0.4709553901061634,1.161642742033329,41.2475270060725,-37.55945675498237,219.5177820129413
company_location_BG,0.44035047531948235,0.44991827700712206,-0.4414893476144769,1.3221902982534415,55.325149944275175,-35.69220590919823,275.1629572481697
company_location_BR,-0.10496376164080079,0.41313911550191623,-0.9147164280245565,0.704788904742955,-9.964285053912036,-59.936978251341564,102.34195055755278
company_location_CA,0.5203398727096724,0.4110552640119191,-0.285328444753689,1.3260081901730338,68.25994221533563,-24.823270025945998,276.59802659784873
company_location_CD,1.0758568282506535,0.5026585036752492,0.09064616104716505,2.061067495454142,193.25044770662996,9.48815249774233,685.4349819439337
company_location_CF,-0.4089295524662419,0.5026153867586715,-1.3940557105132378,0.5761966055807541,-33.563896672998936,-75.19328269730622,77.92583240333329
company_location_CH,0.46931736332655605,0.4140374523100025,-0.3421960432010488,1.2808307698541608,59.89023512118692,-28.979104057724136,259.9628946935136
company_location_CL,-0.16275333597967406,0.421659383136414,-0.9892057269270456,0.6636990549676973,-15.019922215921932,-62.812805837845964,94.19624908236557
company_location_CN,0.8003749785957776,0.5813594394636783,-0.33908952275303184,1.9398394799445868,122.63756151897218,-28.75813314461905,595.7634041193045
company_location_CO,-0.09969081490482365,0.41583317654138147,-0.9147238409259313,0.7153422111162839,-9.488277646721032,-59.93727523346981,104.4886345374405
company_location_CR,-0.604439267107126,0.4357378399409801,-1.458485433391447,0.24960689917719492,-45.36192856025315,-76.7411721463924,28.352076443604513
company_location_CY,-0.32210754688638243,0.42356293872590317,-1.1522909067891525,0.5080758130163877,-27.537974451313406,-68.40877856846679,66.20899441948784
company_location_CZ,-0.10296370409686856,0.41896892689703535,-0.9241428008150578,0.7182153926213206,-9.784028241100696,-60.3128528790388,105.07701235355005
company_location_DE,0.33080765429795317,0.4113375568359402,-0.47541395710048956,1.1370292656963958,39.20920036412661,-37.837232399388235,211.7493350767225
company_location_DK,0.3390130499762721,0.4355788116577729,-0.5147214208729629,1.192747520825507,40.35616615395914,-40.23329310006424,229.61249497015467
company_location_DO,-0.9395969374819189,0.5026172367676175,-1.924726721546449,0.045532846582611364,-60.92146854676825,-85.40843729949502,4.658538080254582
